Cust ID,Date of Application,Cust Segment, Application Credit Score ,Application Amount,Approved_vs_Declined,Decline Reason,Due Date - 1st Payment,`Due Date - 2nd Payment,Due Date - 3rd Payment,Actual Date - 1st Payment ,Actual Date - 2nd Payment,Actual Date - 3rd Payment,Paid Back or Defaulted
17774,03/03/2021,Mid,  665 ,74,Approved,,4/2/2021,5/2/2021,6/1/2021,,,,Defaulted
17775,28/03/2021,Low,  606 ,105,Approved,,4/27/2021,5/27/2021,6/26/2021,,,,Defaulted
17776,21/01/2021,Mid,  659 ,117,Approved,,2/20/2021,3/22/2021,4/21/2021,,,,Defaulted
17777,24/03/2021,High,  572 ,99,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17778,12/02/2021,Mid,  632 ,39,Approved,,3/14/2021,4/13/2021,5/13/2021,,,,Defaulted
17779,02/04/2021,Low,  605 ,110,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17780,25/02/2021,Low,  640 ,110,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17781,09/02/2021,Low,  651 ,104,Approved,,3/11/2021,4/10/2021,5/10/2021,3/15/2021,4/10/2021,5/10/2021,Paid Back
17782,15/01/2021,High,  563 ,71,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17783,29/01/2021,Mid,  613 ,135,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17784,29/03/2021,Mid,  611 ,87,Approved,,4/28/2021,5/28/2021,6/27/2021,5/5/2021,5/28/2021,6/27/2021,Paid Back
17785,20/01/2021,Mid,  554 ,127,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17786,09/02/2021,Low,  575 ,68,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17787,13/02/2021,Low,  599 ,96,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17788,15/01/2021,Low,  594 ,126,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17789,12/02/2021,High,  577 ,139,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17790,13/03/2021,Low,  602 ,168,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17791,11/03/2021,High,  676 ,44,Approved,,4/10/2021,5/10/2021,6/9/2021,4/10/2021,5/10/2021,6/9/2021,Paid Back
17792,22/03/2021,High,  610 ,146,Approved,,4/21/2021,5/21/2021,6/20/2021,,,,Defaulted
17793,27/03/2021,Low,  602 ,119,Approved,,4/26/2021,5/26/2021,6/25/2021,,,,Defaulted
17794,04/03/2021,Low,  616 ,92,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17795,01/02/2021,Low,  624 ,108,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17796,25/03/2021,Low,  642 ,92,Approved,,4/24/2021,5/24/2021,6/23/2021,4/29/2021,5/24/2021,6/23/2021,Paid Back
17797,22/03/2021,Low,  638 ,108,Approved,,4/21/2021,5/21/2021,6/20/2021,4/29/2021,5/21/2021,6/20/2021,Paid Back
17798,01/03/2021,Low,  668 ,84,Approved,,3/31/2021,4/30/2021,5/30/2021,4/3/2021,4/30/2021,5/30/2021,Paid Back
17799,23/02/2021,Low,  623 ,106,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17800,26/02/2021,Mid,  616 ,111,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17801,29/01/2021,Mid,  675 ,90,Approved,,2/28/2021,3/30/2021,4/29/2021,3/10/2021,3/30/2021,4/29/2021,Paid Back
17802,03/01/2021,High,  562 ,134,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17803,15/02/2021,Low,  675 ,65,Approved,,3/17/2021,4/16/2021,5/16/2021,3/21/2021,4/16/2021,5/16/2021,Paid Back
17804,09/03/2021,High,  627 ,107,Approved,,4/8/2021,5/8/2021,6/7/2021,4/22/2021,5/8/2021,6/7/2021,Paid Back
17805,19/02/2021,Mid,  668 ,98,Approved,,3/21/2021,4/20/2021,5/20/2021,,,,Defaulted
17806,08/03/2021,Mid,  640 ,50,Approved,,4/7/2021,5/7/2021,6/6/2021,,,,Defaulted
17807,17/02/2021,Mid,  610 ,153,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17808,03/01/2021,High,  689 ,135,Approved,,2/2/2021,3/4/2021,4/3/2021,2/6/2021,3/4/2021,4/3/2021,Paid Back
17809,16/01/2021,Low,  570 ,116,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17810,31/01/2021,Mid,  551 ,123,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17811,19/01/2021,Mid,  598 ,122,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17812,14/03/2021,Low,  613 ,134,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17813,25/03/2021,Low,  598 ,111,Approved,,4/24/2021,5/24/2021,6/23/2021,6/24/2021,5/24/2021,6/23/2021,Paid Back
17814,04/03/2021,High,  615 ,102,Approved,,4/3/2021,5/3/2021,6/2/2021,5/5/2021,5/3/2021,6/2/2021,Paid Back
17815,10/01/2021,Mid,  613 ,61,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17816,16/03/2021,High,  585 ,81,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17817,17/03/2021,Mid,  623 ,118,Approved,,4/16/2021,5/16/2021,6/15/2021,5/1/2021,5/16/2021,6/15/2021,Paid Back
17818,16/02/2021,Low,  590 ,102,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17819,13/03/2021,Mid,  600 ,53,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17820,27/01/2021,Low,  599 ,95,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17821,22/03/2021,High,  626 ,144,Approved,,4/21/2021,5/21/2021,6/20/2021,5/22/2021,5/21/2021,6/20/2021,Paid Back
17822,15/03/2021,Low,  680 ,77,Approved,,4/14/2021,5/14/2021,6/13/2021,4/22/2021,5/14/2021,6/13/2021,Paid Back
17823,11/02/2021,Mid,  635 ,131,Approved,,3/13/2021,4/12/2021,5/12/2021,3/27/2021,4/12/2021,5/12/2021,Paid Back
17824,06/01/2021,High,  649 ,81,Approved,,2/5/2021,3/7/2021,4/6/2021,,,,Defaulted
17825,31/01/2021,Mid,  618 ,99,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17826,06/03/2021,Mid,  705 ,127,Approved,,4/5/2021,5/5/2021,6/4/2021,4/15/2021,5/5/2021,6/4/2021,Paid Back
17827,07/02/2021,Low,  616 ,122,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17828,15/03/2021,Mid,  684 ,154,Approved,,4/14/2021,5/14/2021,6/13/2021,4/17/2021,5/14/2021,6/13/2021,Paid Back
17829,23/02/2021,Mid,  583 ,131,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17830,29/03/2021,Mid,  601 ,181,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17831,03/02/2021,Mid,  547 ,133,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17832,08/03/2021,Mid,  619 ,112,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17833,11/01/2021,Low,  573 ,79,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17834,24/03/2021,Low,  599 ,104,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17835,21/02/2021,Mid,  619 ,77,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17836,10/03/2021,High,  583 ,107,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17837,07/03/2021,Low,  636 ,41,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17838,10/03/2021,Low,  577 ,113,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17839,11/03/2021,High,  609 ,103,Approved,,4/10/2021,5/10/2021,6/9/2021,4/14/2021,5/10/2021,6/9/2021,Paid Back
17840,20/01/2021,Mid,  675 ,113,Approved,,2/19/2021,3/21/2021,4/20/2021,,,,Defaulted
17841,07/03/2021,Mid,  585 ,96,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17842,04/03/2021,High,  640 ,159,Approved,,4/3/2021,5/3/2021,6/2/2021,,,,Defaulted
17843,16/03/2021,Mid,  678 ,114,Approved,,4/15/2021,5/15/2021,6/14/2021,4/21/2021,5/15/2021,6/14/2021,Paid Back
17844,11/03/2021,Low,  629 ,87,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17845,21/02/2021,High,  671 ,88,Approved,,3/23/2021,4/22/2021,5/22/2021,,,,Defaulted
17846,14/02/2021,Low,  675 ,75,Approved,,3/16/2021,4/15/2021,5/15/2021,3/23/2021,4/15/2021,5/15/2021,Paid Back
17847,30/01/2021,Low,  561 ,91,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17848,03/03/2021,Low,  522 ,81,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17849,26/02/2021,High,  605 ,72,Approved,,3/28/2021,4/27/2021,5/27/2021,4/9/2021,4/27/2021,5/27/2021,Paid Back
17850,07/02/2021,High,  669 ,73,Approved,,3/9/2021,4/8/2021,5/8/2021,3/13/2021,4/8/2021,5/8/2021,Paid Back
17851,01/04/2021,Mid,  529 ,111,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17852,06/02/2021,Mid,  677 ,171,Approved,,3/8/2021,4/7/2021,5/7/2021,3/10/2021,4/7/2021,5/7/2021,Paid Back
17853,18/02/2021,Low,  657 ,62,Approved,,3/20/2021,4/19/2021,5/19/2021,3/29/2021,4/19/2021,5/19/2021,Paid Back
17854,28/03/2021,Mid,  608 ,91,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17855,28/02/2021,Low,  606 ,117,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17856,02/03/2021,Mid,  607 ,96,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17857,12/01/2021,High,  653 ,140,Approved,,2/11/2021,3/13/2021,4/12/2021,2/19/2021,3/13/2021,4/12/2021,Paid Back
17858,24/03/2021,High,  655 ,122,Approved,,4/23/2021,5/23/2021,6/22/2021,,,,Defaulted
17859,20/02/2021,Mid,  573 ,90,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17860,04/03/2021,High,  648 ,193,Approved,,4/3/2021,5/3/2021,6/2/2021,,,,Defaulted
17861,26/03/2021,Low,  620 ,88,Approved,,4/25/2021,5/25/2021,6/24/2021,5/24/2021,5/25/2021,6/24/2021,Paid Back
17862,04/02/2021,Low,  640 ,160,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17863,10/03/2021,Low,  663 ,112,Approved,,4/9/2021,5/9/2021,6/8/2021,,,,Defaulted
17864,02/02/2021,Mid,  654 ,150,Approved,,3/4/2021,4/3/2021,5/3/2021,3/14/2021,4/3/2021,5/3/2021,Paid Back
17865,19/01/2021,Low,  667 ,98,Approved,,2/18/2021,3/20/2021,4/19/2021,2/24/2021,3/20/2021,4/19/2021,Paid Back
17866,30/01/2021,Low,  631 ,92,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17867,26/02/2021,Mid,  645 ,97,Approved,,3/28/2021,4/27/2021,5/27/2021,,,,Defaulted
17868,14/03/2021,Mid,  606 ,97,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17869,31/03/2021,Low,  676 ,148,Approved,,4/30/2021,5/30/2021,6/29/2021,5/4/2021,5/30/2021,6/29/2021,Paid Back
17870,10/01/2021,Mid,  634 ,103,Approved,,2/9/2021,3/11/2021,4/10/2021,2/11/2021,3/11/2021,4/10/2021,Paid Back
17871,12/03/2021,High,  692 ,107,Approved,,4/11/2021,5/11/2021,6/10/2021,4/16/2021,5/11/2021,6/10/2021,Paid Back
17872,03/01/2021,Low,  628 ,110,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17873,18/03/2021,Mid,  681 ,127,Approved,,4/17/2021,5/17/2021,6/16/2021,4/24/2021,5/17/2021,6/16/2021,Paid Back
17874,07/01/2021,Mid,  644 ,119,Approved,,2/6/2021,3/8/2021,4/7/2021,,,,Defaulted
17875,30/03/2021,Low,  615 ,98,Approved,,4/29/2021,5/29/2021,6/28/2021,,,,Defaulted
17876,09/02/2021,Low,  595 ,126,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17877,09/02/2021,Mid,  665 ,79,Approved,,3/11/2021,4/10/2021,5/10/2021,3/12/2021,4/10/2021,5/10/2021,Paid Back
17878,10/03/2021,High,  617 ,49,Approved,,4/9/2021,5/9/2021,6/8/2021,4/22/2021,5/9/2021,6/8/2021,Paid Back
17879,28/02/2021,Mid,  637 ,166,Approved,,3/30/2021,4/29/2021,5/29/2021,5/5/2021,4/29/2021,5/29/2021,Paid Back
17880,07/03/2021,Low,  624 ,150,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17881,21/02/2021,Low,  587 ,83,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17882,29/03/2021,Mid,  587 ,56,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17883,14/01/2021,Mid,  630 ,124,Approved,,2/13/2021,3/15/2021,4/14/2021,,,,Defaulted
17884,18/01/2021,High,  532 ,47,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17885,27/02/2021,Low,  592 ,87,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17886,15/01/2021,High,  546 ,73,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17887,17/03/2021,Mid,  618 ,39,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17888,20/03/2021,Mid,  621 ,136,Approved,,4/19/2021,5/19/2021,6/18/2021,,,,Defaulted
17889,06/02/2021,High,  614 ,178,Approved,,3/8/2021,4/7/2021,5/7/2021,,,,Defaulted
17890,14/02/2021,Low,  583 ,114,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17891,18/03/2021,Mid,  642 ,110,Approved,,4/17/2021,5/17/2021,6/16/2021,,,,Defaulted
17892,03/03/2021,Mid,  671 ,139,Approved,,4/2/2021,5/2/2021,6/1/2021,,,,Defaulted
17893,25/03/2021,Low,  664 ,101,Approved,,4/24/2021,5/24/2021,6/23/2021,,,,Defaulted
17894,20/03/2021,Low,  614 ,113,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17895,12/03/2021,Mid,  602 ,114,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17896,24/02/2021,High,  596 ,44,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17897,27/03/2021,Mid,  575 ,128,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17898,28/03/2021,High,  609 ,137,Approved,,4/27/2021,5/27/2021,6/26/2021,,,,Defaulted
17899,28/03/2021,Mid,  632 ,76,Approved,,4/27/2021,5/27/2021,6/26/2021,4/29/2021,5/27/2021,6/26/2021,Paid Back
17900,05/02/2021,High,  623 ,69,Approved,,3/7/2021,4/6/2021,5/6/2021,,,,Defaulted
17901,23/03/2021,Mid,  588 ,94,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17902,19/03/2021,Low,  642 ,106,Approved,,4/18/2021,5/18/2021,6/17/2021,4/25/2021,5/18/2021,6/17/2021,Paid Back
17903,12/02/2021,Low,  636 ,86,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17904,04/02/2021,Low,  667 ,79,Approved,,3/6/2021,4/5/2021,5/5/2021,3/7/2021,4/5/2021,5/5/2021,Paid Back
17905,08/02/2021,Mid,  559 ,68,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17906,23/03/2021,Low,  577 ,71,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17907,03/03/2021,Mid,  620 ,119,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17908,30/01/2021,Mid,  600 ,95,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17909,12/02/2021,High,  600 ,105,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17910,02/04/2021,Low,  588 ,148,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17911,16/02/2021,Mid,  600 ,124,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17912,22/01/2021,Mid,  611 ,130,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17913,21/02/2021,High,  650 ,81,Approved,,3/23/2021,4/22/2021,5/22/2021,4/1/2021,4/22/2021,5/22/2021,Paid Back
17914,03/02/2021,Low,  643 ,131,Approved,,3/5/2021,4/4/2021,5/4/2021,,,,Defaulted
17915,26/03/2021,Mid,  670 ,116,Approved,,4/25/2021,5/25/2021,6/24/2021,5/4/2021,5/25/2021,6/24/2021,Paid Back
17916,07/02/2021,Mid,  631 ,112,Approved,,3/9/2021,4/8/2021,5/8/2021,4/16/2021,4/8/2021,5/8/2021,Paid Back
17917,11/02/2021,High,  637 ,81,Approved,,3/13/2021,4/12/2021,5/12/2021,3/15/2021,4/12/2021,5/12/2021,Paid Back
17918,18/02/2021,Low,  595 ,112,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17919,27/03/2021,Mid,  647 ,98,Approved,,4/26/2021,5/26/2021,6/25/2021,,,,Defaulted
17920,24/01/2021,Low,  620 ,105,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17921,08/02/2021,High,  673 ,163,Approved,,3/10/2021,4/9/2021,5/9/2021,3/19/2021,4/9/2021,5/9/2021,Paid Back
17922,14/02/2021,Low,  638 ,124,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17923,03/02/2021,Low,  629 ,120,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17924,21/01/2021,Mid,  558 ,95,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17925,10/01/2021,High,  668 ,116,Approved,,2/9/2021,3/11/2021,4/10/2021,,,,Defaulted
17926,09/02/2021,Low,  595 ,158,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17927,26/03/2021,Mid,  595 ,95,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17928,19/02/2021,Mid,  603 ,153,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17929,15/02/2021,Low,  679 ,83,Approved,,3/17/2021,4/16/2021,5/16/2021,3/17/2021,4/16/2021,5/16/2021,Paid Back
17930,06/03/2021,Mid,  677 ,110,Approved,,4/5/2021,5/5/2021,6/4/2021,4/11/2021,5/5/2021,6/4/2021,Paid Back
17931,30/03/2021,High,  654 ,114,Approved,,4/29/2021,5/29/2021,6/28/2021,,,,Defaulted
17932,18/02/2021,High,  614 ,124,Approved,,3/20/2021,4/19/2021,5/19/2021,,,,Defaulted
17933,19/03/2021,Mid,  598 ,125,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17934,07/02/2021,Low,  615 ,103,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17935,16/03/2021,High,  657 ,77,Approved,,4/15/2021,5/15/2021,6/14/2021,4/18/2021,5/15/2021,6/14/2021,Paid Back
17936,15/02/2021,Mid,  644 ,150,Approved,,3/17/2021,4/16/2021,5/16/2021,3/27/2021,4/16/2021,5/16/2021,Paid Back
17937,25/03/2021,Mid,  604 ,35,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17938,10/01/2021,Low,  628 ,110,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17939,26/01/2021,High,  613 ,117,Approved,,2/25/2021,3/27/2021,4/26/2021,,,,Defaulted
17940,09/03/2021,Low,  633 ,82,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17941,13/03/2021,Mid,  613 ,123,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17942,25/02/2021,Low,  641 ,107,Approved,,3/27/2021,4/26/2021,5/26/2021,4/2/2021,4/26/2021,5/26/2021,Paid Back
17943,03/01/2021,Low,  664 ,89,Approved,,2/2/2021,3/4/2021,4/3/2021,,,,Defaulted
17944,10/02/2021,High,  625 ,102,Approved,,3/12/2021,4/11/2021,5/11/2021,4/4/2021,4/11/2021,5/11/2021,Paid Back
17945,17/02/2021,Mid,  594 ,127,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17946,07/03/2021,Mid,  571 ,92,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17947,01/02/2021,Low,  635 ,88,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17948,06/02/2021,Low,  665 ,104,Approved,,3/8/2021,4/7/2021,5/7/2021,3/13/2021,4/7/2021,5/7/2021,Paid Back
17949,10/03/2021,Low,  694 ,104,Approved,,4/9/2021,5/9/2021,6/8/2021,4/16/2021,5/9/2021,6/8/2021,Paid Back
17950,01/04/2021,High,  625 ,160,Approved,,5/1/2021,5/31/2021,6/30/2021,6/4/2021,5/31/2021,6/30/2021,Paid Back
17951,24/03/2021,Low,  655 ,167,Approved,,4/23/2021,5/23/2021,6/22/2021,,,,Defaulted
17952,09/02/2021,Low,  564 ,117,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17953,24/02/2021,Mid,  664 ,132,Approved,,3/26/2021,4/25/2021,5/25/2021,,,,Defaulted
17954,08/01/2021,High,  644 ,70,Approved,,2/7/2021,3/9/2021,4/8/2021,,,,Defaulted
17955,07/03/2021,Mid,  632 ,101,Approved,,4/6/2021,5/6/2021,6/5/2021,4/25/2021,5/6/2021,6/5/2021,Paid Back
17956,21/02/2021,Mid,  568 ,128,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17957,19/03/2021,Low,  581 ,146,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17958,08/03/2021,Mid,  617 ,89,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17959,13/02/2021,Low,  559 ,85,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17960,24/03/2021,Low,  560 ,134,Approved,,4/23/2021,5/23/2021,6/22/2021,5/26/2021,5/23/2021,6/22/2021,Paid Back
17961,19/03/2021,Low,  555 ,105,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17962,30/01/2021,Low,  671 ,98,Approved,,3/1/2021,3/31/2021,4/30/2021,,,,Defaulted
17963,10/02/2021,Low,  577 ,89,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17964,23/03/2021,Mid,  677 ,150,Approved,,4/22/2021,5/22/2021,6/21/2021,4/28/2021,5/22/2021,6/21/2021,Paid Back
17965,29/03/2021,High,  705 ,75,Approved,,4/28/2021,5/28/2021,6/27/2021,4/28/2021,5/28/2021,6/27/2021,Paid Back
17966,27/03/2021,Low,  610 ,124,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17967,22/01/2021,High,  645 ,156,Approved,,2/21/2021,3/23/2021,4/22/2021,2/22/2021,3/23/2021,4/22/2021,Paid Back
17968,22/02/2021,Mid,  615 ,138,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17969,22/03/2021,Mid,  698 ,84,Approved,,4/21/2021,5/21/2021,6/20/2021,4/26/2021,5/21/2021,6/20/2021,Paid Back
17970,28/01/2021,Low,  590 ,58,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17971,12/03/2021,Mid,  627 ,123,Approved,,4/11/2021,5/11/2021,6/10/2021,4/29/2021,5/11/2021,6/10/2021,Paid Back
